basename,label,dataset,snr
spec-3213-54865-0140,A0,train,28.71692
spec-2178-54629-0064,A0,train,22.03721
spec-1948-53388-0060,A0,train,21.16728
spec-3248-54880-0406,A0,train,41.74405
spec-1852-53534-0301,A0,train,13.20838
spec-1920-53314-0456,A0,train,15.89609
spec-3144-54763-0335,A0,train,18.35174
spec-3301-54939-0059,A0,train,15.49269
spec-2739-54618-0585,A0,train,35.24356
spec-3240-54883-0587,A0,train,31.80666
spec-2617-54502-0034,A0,train,14.79705
spec-2620-54339-0197,A0,train,13.47824
spec-3216-54908-0335,A0,train,27.17911
spec-3310-54919-0523,A0,train,36.07056
spec-1885-53230-0106,A0,train,15.14776
spec-0382-51816-0586,A0,train,22.8205
spec-0300-51666-0277,A0,train,10.34121
spec-2745-54231-0180,A0,train,17.13078
spec-1895-53242-0279,A0,train,17.61744
spec-1259-52931-0543,A0,train,48.49804
spec-0364-52000-0514,A0,train,30.16683
spec-3137-54730-0552,A0,train,84.87248
spec-2853-54440-0594,A0,train,53.06473
spec-2401-53768-0497,A0,train,43.4534
spec-1390-53142-0222,A0,train,54.44722
spec-2339-53729-0585,A0,train,10.91354
spec-2945-54505-0500,A0,train,13.20879
spec-3240-54883-0119,A0,train,15.37486
spec-2398-53768-0190,A0,train,12.33182
spec-1927-53321-0343,A0,train,13.08843
spec-0835-52326-0269,A0,train,41.61961
spec-2257-53612-0159,A0,train,21.36535
spec-3429-54976-0286,A0,train,33.72501
spec-2889-54530-0405,A0,train,46.45901
spec-2539-53918-0482,A0,train,35.72989
spec-2367-53763-0102,A0,train,28.80906
spec-2403-53795-0185,A0,train,10.33373
spec-0700-52199-0229,A0,train,18.14207
spec-0451-51908-0249,A0,train,17.92199
spec-0573-52325-0412,A0,train,17.73986
spec-3480-54999-0432,A0,train,68.84805
spec-3171-54862-0096,A0,train,14.92884
spec-1718-53850-0438,A0,train,35.20951
spec-2892-54552-0436,A0,train,32.94786
spec-1372-53062-0231,A0,train,51.95274
spec-2426-53795-0216,A0,train,49.84161
spec-3327-54951-0210,A0,train,61.2651
spec-3296-54909-0103,A0,train,19.14581
spec-0755-52235-0109,A0,train,19.57997
spec-2934-54626-0531,A0,train,12.96516
spec-1014-52707-0210,A0,train,39.53505
spec-3457-54984-0108,A0,train,41.95796
spec-1911-53295-0277,A0,train,36.25628
spec-2402-54176-0549,A0,train,19.24449
spec-2858-54464-0637,A0,train,35.39088
spec-2872-54533-0042,A0,train,18.73701
spec-2080-53350-0152,A0,train,34.93657
spec-2134-53876-0520,A0,train,31.14612
spec-2179-53555-0192,A0,train,15.55178
spec-2899-54568-0430,A0,train,48.77367
spec-2188-54595-0508,A0,train,27.21225
spec-1880-53262-0133,A0,train,29.80419
spec-3247-54888-0202,A0,train,14.42343
spec-2941-54507-0024,A0,train,63.46017
spec-1251-52964-0066,A0,train,51.78646
spec-1902-53271-0090,A0,train,22.28524
spec-2800-54326-0532,A0,train,39.91832
spec-0985-52431-0473,A0,train,36.83006
spec-0437-51876-0386,A0,train,26.73767
spec-2584-54153-0322,A0,train,41.24303
spec-2559-54208-0533,A0,train,44.83742
spec-1776-53858-0471,A0,train,27.12754
spec-1623-53089-0622,A0,train,11.76648
spec-0934-52672-0405,A0,train,49.44793
spec-2821-54393-0068,A0,train,16.49426
spec-3407-54971-0382,A0,train,34.85745
spec-3138-54740-0590,A0,train,65.40942
spec-1684-53239-0415,A0,train,45.77704
spec-2464-54272-0147,A0,train,20.18638
spec-3387-54951-0282,A0,train,17.55779
spec-3105-54825-0250,A0,train,15.66596
spec-3319-54915-0490,A0,train,70.73251
spec-2799-54368-0159,A0,train,19.98046
spec-1265-52705-0563,A0,train,50.2797
spec-1960-53289-0314,A0,train,38.9917
spec-1354-52814-0413,A0,train,20.49674
spec-2306-53726-0016,A0,train,47.4859
spec-2729-54419-0264,A0,train,10.96892
spec-2969-54586-0147,A0,train,37.21701
spec-1916-53269-0195,A0,train,26.52542
spec-1251-52964-0621,A0,train,53.06709
spec-0429-51820-0331,A0,train,19.03721
spec-0306-51690-0158,A0,train,10.39126
spec-2694-54199-0459,A0,train,22.78805
spec-2917-54556-0554,A0,train,22.34525
spec-2897-54585-0611,A0,train,27.01076
spec-2143-54184-0050,A0,train,15.40833
spec-1888-53239-0420,A0,train,35.00351
spec-2539-53918-0397,A0,train,37.41574
spec-2865-54503-0194,A0,train,13.4882
spec-3223-54865-0402,A0,train,20.35825
spec-3212-54851-0384,A0,train,16.41932
spec-3252-54893-0438,A0,train,19.51271
spec-0878-52353-0617,A0,train,47.53169
spec-2176-54243-0595,A0,train,51.06322
spec-2936-54626-0161,A0,train,11.90951
spec-2190-54386-0247,A0,train,10.38778
spec-2926-54625-0555,A0,train,15.02824
spec-2474-54333-0574,A0,train,21.60578
spec-2188-54595-0572,A0,train,10.57334
spec-3157-54802-0441,A0,train,28.79816
spec-0523-52026-0619,A0,train,36.71965
spec-1680-53171-0439,A0,train,48.87825
spec-0645-52203-0374,A0,train,20.81307
spec-3251-54882-0201,A0,train,22.42704
spec-2146-54230-0275,A0,train,45.75049
spec-1918-53240-0184,A0,train,28.35732
spec-3312-54969-0281,A0,train,18.41866
spec-3310-54919-0077,A0,train,20.70162
spec-3251-54882-0278,A0,train,24.31814
spec-1338-52765-0524,A0,train,40.51383
spec-2545-53915-0194,A0,train,13.31182
spec-2924-54582-0547,A0,train,14.91208
spec-1604-53078-0595,A0,train,20.13911
spec-3258-54884-0077,A0,train,10.9539
spec-0910-52377-0250,A0,train,19.69423
spec-0994-52725-0095,A0,train,12.67426
spec-3298-54924-0031,A0,train,87.47589
spec-0947-52411-0175,A0,train,24.0799
spec-3306-54922-0511,A0,train,67.40639
spec-3149-54806-0423,A0,train,27.81939
spec-3160-54793-0346,A0,train,51.96893
spec-1217-52672-0417,A0,train,39.90456
spec-2892-54552-0584,A0,train,47.85373
spec-3374-54948-0292,A0,train,57.54898
spec-1883-53271-0271,A0,train,12.55099
spec-2184-53534-0036,A0,train,62.43338
spec-2969-54586-0422,A0,train,41.85056
spec-1893-53239-0387,A0,train,24.53437
spec-3317-54908-0585,A0,train,20.95795
spec-2924-54582-0205,A0,train,27.0079
spec-2714-54208-0100,A0,train,57.53632
spec-0680-52200-0141,A0,train,50.68005
spec-2457-54180-0035,A0,train,28.73606
spec-2930-54589-0474,A0,train,21.89423
spec-3306-54922-0296,A0,train,24.66315
spec-2290-53727-0181,A0,train,43.64247
spec-0942-52703-0106,A0,train,16.85398
spec-2253-54551-0007,A0,train,40.41489
spec-2608-54474-0638,A0,train,16.73365
spec-3287-54941-0579,A0,train,20.66133
spec-2890-54495-0166,A0,train,61.90181
spec-2933-54617-0565,A0,train,27.65732
spec-2253-54551-0044,A0,train,40.60662
spec-3380-54977-0544,A0,train,23.62211
spec-2707-54144-0010,A0,train,38.07837
spec-0973-52426-0104,A0,train,34.32047
spec-0489-51930-0116,A0,train,48.39878
spec-3312-54969-0466,A0,train,22.91965
spec-0374-51791-0381,A0,train,48.53854
spec-2251-53557-0494,A0,train,43.90773
spec-1924-53330-0613,A0,train,17.96355
spec-2332-54149-0222,A0,train,20.48027
spec-2016-53799-0533,A0,train,38.96206
spec-0803-52264-0609,A0,train,32.47108
spec-2862-54471-0013,A0,train,41.14563
spec-0929-52581-0563,A0,train,28.75283
spec-1058-52520-0266,A0,train,14.42285
spec-1962-53321-0021,A0,train,35.05918
spec-1488-52965-0639,A0,train,10.08632
spec-2178-54629-0611,A0,train,32.06744
spec-0858-52316-0275,A0,train,35.62775
spec-2042-53378-0325,A0,train,48.89793
spec-2920-54562-0268,A0,train,17.46742
spec-2888-54529-0183,A0,train,71.03918
spec-2475-53845-0097,A0,train,18.95662
spec-2824-54452-0625,A0,train,15.55232
spec-2558-54140-0050,A0,train,30.67712
spec-2186-54327-0357,A0,train,14.66671
spec-1892-53238-0265,A0,train,51.05494
spec-3138-54740-0343,A0,train,86.70567
spec-1338-52765-0360,A0,train,47.20989
spec-2560-54205-0409,A0,train,23.39411
spec-2307-53710-0118,A0,train,48.68055
spec-1851-53524-0275,A0,train,40.62778
spec-2862-54471-0107,A0,train,24.40557
spec-0820-52433-0550,A0,train,19.8303
spec-1719-53876-0629,A0,train,14.4977
spec-2926-54625-0234,A0,train,28.31684
spec-3133-54789-0203,A0,train,31.30092
spec-0394-51876-0180,A0,train,27.04003
spec-3395-55004-0123,A0,train,16.53645
spec-3406-54970-0068,A0,train,42.50762
spec-1578-53496-0448,A0,train,51.61873
spec-3171-54862-0400,A0,train,23.86814
spec-0581-52356-0467,A0,train,59.78113
spec-0862-52325-0512,A0,train,47.87366
spec-3380-54977-0305,A0,train,11.21504
spec-3170-54859-0484,A0,train,10.07274
spec-1253-52974-0437,A0,train,41.97443
spec-1900-53262-0227,A0,train,42.55862
spec-2923-54563-0204,A0,train,12.85485
spec-3179-54830-0046,A0,train,29.12442
spec-0883-52430-0311,A0,train,10.97167
spec-1904-53682-0536,A0,train,26.4026
spec-3293-54921-0162,A0,train,31.7485
spec-0617-52072-0465,A0,train,11.1874
spec-1758-53084-0162,A0,train,23.23257
spec-3128-54776-0390,A0,train,22.37247
spec-3263-54887-0243,A0,train,31.27833
spec-3224-54849-0534,A0,train,44.4351
spec-2195-54234-0058,A0,train,22.54282
spec-2849-54454-0251,A0,train,55.96247
spec-1204-52669-0182,A0,train,16.13987
spec-1903-53357-0141,A0,train,10.72341
spec-3137-54730-0494,A0,train,57.62125
spec-3195-54832-0130,A0,train,61.68659
spec-2205-53793-0086,A0,train,23.44291
spec-2920-54562-0623,A0,train,19.89538
spec-2043-53351-0127,A0,train,42.9602
spec-2192-54232-0168,A0,train,34.5072
spec-2851-54485-0059,A0,train,30.91294
spec-1366-53063-0187,A0,train,17.09527
spec-0348-51671-0635,A0,train,23.45603
spec-1921-53317-0016,A0,train,23.18924
spec-3258-54884-0445,A0,train,13.71045
spec-0857-52314-0254,A0,train,16.4274
spec-0838-52378-0317,A0,train,25.15738
spec-2665-54232-0327,A0,train,38.80357
spec-1923-53319-0173,A0,train,17.69875
spec-3296-54909-0075,A0,train,32.54879
spec-0367-51997-0204,A0,train,73.46532
spec-1897-53242-0215,A0,train,13.11971
spec-3138-54740-0390,A0,train,93.33729
spec-1837-53494-0028,A0,train,12.15125
spec-0795-52378-0572,A0,train,52.76614
spec-3246-54939-0583,A0,train,28.64569
spec-3368-54954-0044,A0,train,14.57091
spec-0289-51990-0373,A0,train,26.96267
spec-1271-52974-0518,A0,train,39.10989
spec-2827-54422-0442,A0,train,38.67731
spec-3367-54998-0058,A0,train,21.11722
spec-1914-53612-0067,A0,train,14.9076
spec-0434-51885-0154,A0,train,15.04005
spec-3293-54921-0594,A0,train,35.59253
spec-0309-51994-0483,A0,train,35.17936
spec-3154-54821-0163,A0,train,18.34047
spec-2390-54094-0101,A0,train,76.73769
spec-2267-53713-0622,A0,train,14.03665
spec-2252-53565-0494,A0,train,55.69535
spec-1408-52822-0191,A0,train,17.38742
spec-1325-52762-0087,A0,train,16.75302
spec-1452-53112-0388,A0,train,19.73449
spec-0818-52395-0162,A0,train,11.18558
spec-2182-53905-0244,A0,train,62.18243
spec-2096-53446-0348,A0,train,13.54081
spec-2924-54582-0460,A0,train,17.52839
spec-1913-53321-0179,A0,train,11.20677
spec-2189-54624-0214,A0,train,18.05546
spec-2891-54507-0422,A0,train,38.60107
spec-1255-52962-0105,A0,train,24.77883
spec-0730-52466-0488,A0,train,39.88261
spec-2472-54175-0474,A0,train,14.21983
spec-2325-54082-0502,A0,train,29.22802
spec-3300-54914-0478,A0,train,12.32987
spec-2829-54623-0113,A0,train,24.14227
spec-2903-54581-0273,A0,train,42.58682
spec-0686-52519-0198,A0,train,29.07899
spec-2257-53612-0582,A0,train,35.96689
spec-2963-54589-0183,A0,train,40.08076
spec-0714-52201-0455,A0,train,44.55759
spec-3216-54853-0325,A0,train,15.52614
spec-0310-51616-0235,A0,train,18.87869
spec-3324-54943-0140,A0,train,20.07417
spec-1464-53091-0060,A0,train,46.65303
spec-3182-54828-0525,A0,train,16.10272
spec-2299-53711-0246,A0,train,23.06599
spec-1609-53142-0241,A0,train,27.85058
spec-2218-53816-0021,A0,train,25.76043
spec-1816-53919-0026,A0,train,29.64228
spec-1078-52643-0395,A0,train,14.54432
spec-2427-53815-0388,A0,train,21.98547
spec-1817-53851-0383,A0,train,57.22146
spec-3239-54888-0115,A0,train,30.83354
spec-2069-53376-0626,A0,train,27.54505
spec-2144-53770-0245,A0,train,51.18159
spec-1374-53083-0320,A0,train,14.68563
spec-1498-52914-0617,A0,train,10.09665
spec-0917-52400-0035,A0,train,48.0883
spec-0690-52261-0092,A0,train,12.94681
spec-2247-53857-0439,A0,train,34.6899
spec-2431-53818-0017,A0,train,22.48608
spec-3251-54882-0056,A0,train,19.58781
spec-2856-54463-0613,A0,train,38.89199
spec-3239-54888-0169,A0,train,39.96301
spec-2281-53711-0007,A0,train,31.63432
spec-2175-54612-0516,A0,train,35.8588
spec-1996-53436-0612,A0,train,19.57437
spec-2389-54213-0299,A0,train,61.90812
spec-2597-54231-0362,A0,train,18.13761
spec-3176-54832-0437,A0,train,21.97289
spec-2378-53759-0194,A0,train,64.49897
spec-1350-52786-0067,A0,train,43.67101
spec-1884-53228-0582,A0,train,50.68378
spec-2739-54618-0217,A0,train,25.40604
spec-2417-53766-0188,A0,train,25.99822
spec-3214-54866-0428,A0,train,31.21097
spec-2452-54178-0185,A0,train,54.12244
spec-3192-54829-0074,A0,train,58.80782
spec-1894-53240-0149,A0,train,27.22577
spec-3254-54889-0228,A0,train,39.59034
spec-2427-53800-0117,A0,train,28.93501
spec-2071-53741-0271,A0,train,33.73713
spec-1289-52734-0299,A0,train,23.16341
spec-2114-53848-0602,A0,train,50.23156
spec-1441-53083-0208,A0,train,25.31615
spec-2861-54583-0146,A0,train,52.60362
spec-1660-53230-0316,A0,train,26.89979
spec-0697-52226-0477,A0,train,11.16975
spec-2798-54397-0006,A0,train,53.44249
spec-3321-54924-0265,A0,train,28.50137
spec-0890-52583-0017,A0,train,59.38115
spec-1138-53228-0444,A0,train,21.84843
spec-1137-52971-0338,A0,train,15.71871
spec-3299-54908-0628,A0,train,29.63812
spec-2574-54084-0493,A0,train,18.96963
spec-2309-54441-0318,A0,train,52.1057
spec-0301-51641-0361,A0,train,31.87896
spec-3457-54984-0533,A0,train,51.09836
spec-1251-52964-0539,A0,train,46.73304
spec-3185-54829-0476,A0,train,19.61992
spec-2865-54503-0596,A0,train,13.22361
spec-1414-53135-0526,A0,train,53.45407
spec-0292-51609-0232,A0,train,17.75165
spec-2797-54616-0398,A0,train,63.48831
spec-0726-52207-0307,A0,train,29.46934
spec-1259-52931-0125,A0,train,35.23463
spec-2707-54144-0629,A0,train,14.19444
spec-2317-54152-0302,A0,train,28.99645
spec-0351-51780-0466,A0,train,19.79229
spec-0573-52325-0016,A0,train,39.89928
spec-2262-54623-0571,A0,train,20.8015
spec-3222-54862-0204,A0,train,18.62355
spec-2676-54179-0298,A0,train,16.00628
spec-1958-53385-0227,A0,train,37.58604
spec-3310-54919-0123,A0,train,20.58352
spec-3232-54882-0623,A0,train,20.21569
spec-0275-51910-0423,A0,train,45.04634
spec-0353-51703-0570,A0,train,77.48077
spec-2815-54414-0622,A0,train,30.57411
spec-2299-53711-0148,A0,train,53.30477
spec-2828-54438-0381,A0,train,30.415
spec-2930-54589-0273,A0,train,14.58275
spec-1921-53317-0202,A0,train,13.42222
spec-2941-54507-0076,A0,train,23.99404
spec-2185-53532-0455,A0,train,12.58862
spec-2201-53904-0520,A0,train,44.04728
spec-0996-52641-0606,A0,train,32.61071
spec-0412-52258-0367,A0,train,29.84897
spec-1419-53144-0186,A0,train,36.4068
spec-2476-53826-0249,A0,train,56.35857
spec-3296-54909-0038,A0,train,19.64817
spec-2808-54524-0352,A0,train,79.38041
spec-1985-53431-0206,A0,train,34.01667
spec-1393-52824-0561,A0,train,12.44474
spec-1048-52736-0529,A0,train,18.96673
spec-0638-52081-0398,A0,train,40.50891
spec-2567-54179-0096,A0,train,12.131
spec-2179-53555-0014,A0,train,37.12371
spec-3290-54941-0577,A0,train,32.06185
spec-1657-53520-0528,A0,train,50.09214
spec-1685-53463-0466,A0,train,37.38143
spec-2573-54061-0043,A0,train,17.96313
spec-1728-53228-0577,A0,train,41.68567
spec-3304-54942-0141,A0,train,22.73288
spec-3205-54848-0435,A0,train,57.6772
spec-2873-54505-0099,A0,train,17.20112
spec-2796-54629-0399,A0,train,51.01327
spec-2673-54096-0483,A0,train,10.89804
spec-2820-54599-0138,A0,train,14.09465
spec-2549-54523-0213,A0,train,14.52424
spec-0911-52426-0127,A0,train,51.66305
spec-3122-54821-0608,A0,train,49.56211
spec-3132-54746-0035,A0,train,79.34501
spec-1380-53084-0161,A0,train,15.05364
spec-0595-52023-0312,A0,train,32.80979
spec-2345-53757-0298,A0,train,48.14352
spec-2422-54096-0066,A0,train,17.436
spec-3142-54735-0342,A0,train,74.61454
spec-0483-51902-0055,A0,train,42.59814
spec-2248-53558-0130,A0,train,52.1313
spec-1150-52644-0209,A0,train,14.37529
spec-1884-53228-0195,A0,train,51.58712
spec-2551-54552-0125,A0,train,31.22866
spec-2325-54082-0488,A0,train,14.52323
spec-3312-54969-0523,A0,train,14.57902
spec-1886-53237-0447,A0,train,28.31963
spec-3221-54864-0324,A0,train,16.43775
spec-2889-54530-0301,A0,train,51.68318
spec-0571-52286-0286,A0,train,32.36071
spec-2821-54393-0362,A0,train,25.64238
spec-2827-54422-0478,A0,train,36.74684
spec-3480-54999-0527,A0,train,53.73851
spec-3442-54983-0586,A0,train,48.29616
spec-2965-54594-0275,A0,train,10.31861
spec-0685-52203-0274,A0,train,42.51882
spec-0613-52345-0031,A0,train,39.08588
spec-2262-54623-0200,A0,train,27.54594
spec-3406-54970-0542,A0,train,15.24125
spec-2250-53566-0178,A0,train,44.96521
spec-2934-54626-0283,A0,train,18.27008
spec-3263-54887-0602,A0,train,19.99363
spec-3237-54883-0295,A0,train,45.32592
spec-2853-54440-0546,A0,train,49.42565
spec-1825-53504-0561,A0,train,30.49737
spec-1602-53117-0018,A0,train,38.64617
spec-0602-52072-0145,A0,train,13.76536
spec-2181-53524-0281,A0,train,26.83663
spec-1362-53050-0410,A0,train,23.01297
spec-2300-53682-0328,A0,train,51.58674
spec-3231-54890-0200,A0,train,15.61286
spec-0812-52352-0046,A0,train,18.10217
spec-0978-52441-0638,A0,train,50.49894
spec-0706-52199-0438,A0,train,38.15786
spec-0907-52373-0405,A0,train,51.06026
spec-1296-52962-0632,A0,train,45.14735
spec-3209-54906-0472,A0,train,59.84166
spec-3457-54984-0621,A0,train,22.472
spec-1259-52931-0105,A0,train,45.98893
spec-0360-51780-0135,A0,train,19.92828
spec-2252-53565-0486,A0,train,34.12281
spec-3428-54979-0028,A0,train,49.43631
spec-1513-53741-0088,A0,train,15.30595
spec-2872-54533-0060,A0,train,12.10967
spec-2935-54652-0323,A0,train,18.36906
spec-1253-52974-0330,A0,train,46.29111
spec-0300-51666-0083,A0,train,13.95916
spec-2525-54569-0105,A0,train,11.01072
spec-0565-52225-0142,A0,train,22.94552
spec-2910-54630-0098,A0,train,53.6129
spec-1571-53174-0042,A0,train,47.71777
spec-2067-53738-0418,A0,train,16.9545
spec-2866-54478-0418,A0,train,13.73204
spec-0355-51788-0254,A0,train,39.28042
spec-2922-54612-0264,A0,train,23.42055
spec-2895-54567-0266,A0,train,66.35266
spec-2320-54653-0100,A0,train,14.38553
spec-1264-52707-0057,A0,train,20.51404
spec-2075-53737-0429,A0,train,24.85505
spec-2178-54629-0375,A0,train,29.02534
spec-0927-52559-0531,A0,train,25.20718
spec-1969-53383-0078,A0,train,12.76035
spec-0768-52281-0562,A0,train,11.668
spec-3161-54779-0300,A0,train,34.26355
spec-0331-52368-0252,A0,train,10.16308
spec-2819-54617-0206,A0,train,25.51276
spec-3106-54714-0199,A0,train,17.77841
spec-3235-54880-0395,A0,train,47.95871
spec-0543-52017-0149,A0,train,49.39693
spec-1087-52930-0404,A0,train,16.79134
spec-1882-53262-0242,A0,train,26.28391
spec-0380-51792-0627,A0,train,10.40295
spec-2716-54628-0460,A0,train,69.19064
spec-0625-52145-0529,A0,train,28.59412
spec-2667-54142-0165,A0,train,37.61799
spec-1985-53431-0011,A0,train,19.45068
spec-1836-54567-0437,A0,train,14.94756
spec-3172-54863-0142,A0,train,29.34785
spec-3214-54866-0505,A0,train,17.28583
spec-1251-52964-0461,A0,train,44.04494
spec-1642-53115-0436,A0,train,23.56876
spec-2597-54231-0082,A0,train,12.02197
spec-1836-54567-0501,A0,train,13.49471
spec-1703-53799-0013,A0,train,34.91308
spec-2622-54095-0557,A0,train,20.05986
spec-1885-53230-0587,A0,train,24.11421
spec-2051-53738-0128,A0,train,60.99309
spec-2429-53799-0298,A0,train,15.20645
spec-3428-54979-0458,A0,train,30.89399
spec-2517-54567-0035,A0,train,20.31614
spec-2624-54380-0188,A0,train,34.69193
spec-3362-54939-0071,A0,train,47.85469
spec-1252-52970-0475,A0,train,39.8643
spec-1326-52764-0045,A0,train,12.43444
spec-3137-54730-0591,A0,train,86.90206
spec-1149-53003-0393,A0,train,11.24782
spec-2612-54480-0139,A0,train,50.20089
spec-1405-52826-0099,A0,train,41.64191
spec-3293-54921-0427,A0,train,45.96688
spec-2447-54498-0420,A0,train,46.09739
spec-0598-52316-0381,A0,train,47.08289
spec-2893-54552-0494,A0,train,82.43987
spec-1662-52970-0531,A0,train,22.72462
spec-3236-54892-0393,A0,train,38.13546
spec-3298-54924-0468,A0,train,45.65028
spec-2294-54524-0116,A0,train,14.77139
spec-3229-54876-0094,A0,train,15.81433
spec-3214-54866-0623,A0,train,13.03817
spec-3243-54910-0038,A0,train,17.58832
spec-1284-52736-0384,A0,train,10.41127
spec-2636-54082-0372,A0,train,18.32175
spec-0419-51879-0443,A0,train,44.92311
spec-2351-53772-0144,A0,train,38.97411
spec-1135-53024-0460,A0,train,27.18693
spec-2674-54097-0188,A0,train,27.28099
spec-2671-54141-0206,A0,train,28.6022
spec-3148-54802-0003,A0,train,72.34177
spec-0523-52026-0297,A0,train,24.48727
spec-1006-52708-0214,A0,train,27.95181
spec-2796-54629-0600,A0,train,25.00838
spec-1336-52759-0203,A0,train,35.58707
spec-2679-54368-0209,A0,train,82.14748
spec-2797-54616-0379,A0,train,39.04677
spec-1608-53138-0612,A0,train,37.78177
spec-1278-52735-0155,A0,train,34.44603
spec-1505-52941-0255,A0,train,51.78612
spec-1888-53239-0048,A0,train,32.54457
spec-2378-53759-0061,A0,train,41.83113
spec-3112-54802-0265,A0,train,38.20103
spec-0647-52553-0140,A0,train,43.3839
spec-2629-54087-0332,A0,train,11.06659
spec-3205-54848-0470,A0,train,63.90786
spec-3221-54864-0158,A0,train,14.37218
spec-2922-54612-0293,A0,train,80.32005
spec-2628-54326-0412,A0,train,25.3672
spec-3130-54740-0526,A0,train,27.92293
spec-2167-53889-0032,A0,train,13.89845
spec-3395-55004-0103,A0,train,16.00537
spec-1782-53383-0131,A0,train,34.07106
spec-2689-54149-0612,A0,train,31.18152
spec-1692-53473-0560,A0,train,14.23636
spec-0574-52347-0454,A0,train,11.88737
spec-0524-52027-0112,A0,train,13.65748
spec-2333-53682-0051,A0,train,96.99283
spec-1709-53533-0595,A0,train,38.76997
spec-3121-54762-0320,A0,train,17.7544
spec-1778-53883-0067,A0,train,49.62314
spec-1923-53319-0621,A0,train,25.35537
spec-3192-54829-0400,A0,train,16.05295
spec-2301-53712-0458,A0,train,16.46208
spec-1882-53262-0579,A0,train,49.93295
spec-1256-52902-0133,A0,train,46.44562
spec-0702-52178-0024,A0,train,52.54014
spec-1353-53083-0451,A0,train,35.63145
spec-3160-54793-0575,A0,train,35.93203
spec-2820-54599-0288,A0,train,11.90273
spec-2397-53763-0471,A0,train,28.12275
spec-1612-53149-0137,A0,train,43.54532
spec-1999-53503-0344,A0,train,37.43538
spec-2938-54526-0488,A0,train,78.69884
spec-2676-54179-0319,A0,train,52.69392
spec-0384-51821-0519,A0,train,35.42314
spec-2394-54551-0021,A0,train,31.98864
spec-2588-54174-0132,A0,train,19.28634
spec-0917-52400-0434,A0,train,12.77647
spec-1906-53293-0134,A0,train,29.55489
spec-2444-54082-0494,A0,train,11.35179
spec-3132-54746-0371,A0,train,80.12144
spec-2248-53558-0165,A0,train,49.78384
