basename,label,ra,dec,snr,resource,dataset
spec-58105-HIP29425K201_sp09-086,A,93.7182009,24.5358014,11.15,lamost_low,train
spec-56651-GAC105N24V2_sp07-117,A,106.8237,22.833507,17.09,lamost_low,train
spec-56994-HD053243N321131V01_sp13-111,A,85.2534161,33.2327633,84.03,lamost_low,train
spec-57455-HD072742S030417V01_sp09-046,A,112.64774,-2.222035,82.23,lamost_low,train
spec-56568-VB081N11V1_sp07-092,A,82.843182,9.9583209,167.18,lamost_low,train
spec-58109-HIP29425K201_sp07-016,A,94.1652487,21.4913654,189.86,lamost_low,train
spec-56957-GAC093N17B1_sp13-170,A,94.899932,18.676019,29.48,lamost_low,train
spec-57393-HD101055N362805M01_sp05-216,A,152.0577061,35.2328581,39.14,lamost_low,train
spec-56287-GAC101N22V5_sp02-182,A,100.092,21.055623,6.93,lamost_low,train
spec-55911-B91107_sp10-243,A,45.053406,52.101326,23.65,lamost_low,train
spec-56937-HD012036N545744V01_sp05-237,A,18.645854,53.79923,159.48,lamost_low,train
spec-57015-GAC082N38M1_sp06-103,A,85.829985,37.479472,5.45,lamost_low,train
spec-58634-GACII273N16B1_sp12-154,A,274.86889,17.46617,74.79,lamost_low,train
spec-57659-GAC065N46B1_sp05-088,A,64.833974,45.289994,133.9,lamost_low,train
spec-56911-HD002951N381926B01_sp14-165,A,5.5953645,38.9214663,21.16,lamost_low,train
spec-56590-GAC099N59V1_sp11-041,A,100.61465,61.953725,6.14,lamost_low,train
spec-57717-HD084531N282643M02_sp07-085,A,133.519644,26.8388458,16.71,lamost_low,train
spec-57015-GAC052N35M1_sp06-236,A,53.979643,35.100381,18.77,lamost_low,train
spec-57278-GAC053N42B1_sp16-168,A,51.343484,44.316501,96.07,lamost_low,train
spec-55863-GAC_105N29_B1_sp10-236,A,103.07315,29.491109,21.03,lamost_low,train
spec-57751-GAC093N06B1_sp14-250,A,90.926962,6.4466714,111.93,lamost_low,train
spec-58108-GAC094N12B1_sp08-121,A,95.045223,11.105753,199.46,lamost_low,train
spec-59282-HD065450N031414V02_sp07-186,A,105.436808,1.858083,299.11,lamost_low,train
spec-57426-GAC090N26M2_sp04-189,A,90.255396,26.227716,66.05,lamost_low,train
spec-56202-EG030725N175247V01_sp08-222,A,47.602768,16.479195,8.23,lamost_low,train
spec-59555-GAC057N40M1_sp11-103,A,57.151494,42.650009,19.45,lamost_low,train
spec-57127-HD090808N144241V01_sp09-108,A,137.436977,15.887988,7.46,lamost_low,train
spec-57909-HD200842N220912V01_sp11-011,A,301.847293,24.014626,46.67,lamost_low,train
spec-56232-M31007N36B2_sp16-173,A,5.7470651,38.478029,12.09,lamost_low,train
spec-59613-GAC067N44M2_sp02-212,A,66.389983,42.771765,36.88,lamost_low,train
spec-55938-GAC_070N40_V1_sp12-245,A,71.522415,42.888263,27.93,lamost_low,train
spec-57093-HD134427N004207V01_sp06-021,A,207.5100464,-0.2658994,101.59,lamost_low,train
spec-57314-GAC105N15B1_sp11-221,A,105.17013,17.734819,97.24,lamost_low,train
spec-58068-EG021402N263737M01_sp15-104,A,33.4498917,27.3218089,19.29,lamost_low,train
spec-56668-GAC089N24B1_sp02-002,A,88.185211,22.467786,87.34,lamost_low,train
spec-56627-GAC056N46V1_sp11-221,A,56.358063,48.322275,90.74,lamost_low,train
spec-57367-GAC100N13M1_sp15-162,A,100.43586,14.618045,46.98,lamost_low,train
spec-55975-B5597505_sp07-136,A,202.650157,28.954269,36.49,lamost_low,train
spec-59614-GAC084N35B4_sp01-085,A,84.352599,33.873488,103.83,lamost_low,train
spec-57060-HD064747N214129V01_sp01-063,A,101.2545453,19.8123108,193.45,lamost_low,train
spec-57897-HD200356N310725V01_sp07-182,A,302.2153567,29.6116308,181.4,lamost_low,train
spec-55918-GAC_082N29_M1_sp13-114,A,84.537728,30.288415,7.33,lamost_low,train
spec-56639-GAC061N32B1_sp11-244,A,61.259371,34.405203,68.04,lamost_low,train
spec-57483-HD175314N060605V01_sp10-193,A,266.3140932,5.1215586,174.26,lamost_low,train
spec-58068-HD073149N010954B01_sp10-245,A,111.303998,0.984563,8.02,lamost_low,train
spec-57105-HD090135S000003V01_sp03-192,A,134.73553528,-0.24118917,504.69,lamost_low,train
spec-57328-EG213118N034906M01_sp10-207,A,321.520175,3.0792047,8.87,lamost_low,train
spec-56642-GAC094N47V3_sp12-196,A,96.847547,49.085554,160.1,lamost_low,train
spec-57469-HD062245N041237V01_sp01-249,A,95.038855,1.9651528,13.58,lamost_low,train
spec-56206-M31016N43B2_sp08-139,A,17.657621,42.703174,6.8,lamost_low,train
spec-55862-B6212_sp14-153,A,95.997697,28.870497,11.04,lamost_low,train
spec-56971-HD075207N031638V01_sp08-013,A,118.6834875,2.3706344,287.79,lamost_low,train
spec-57716-HIP29425K201_sp09-099,A,93.857666,24.624808,348.45,lamost_low,train
spec-57811-HIP29425K201_sp06-111,A,95.3105215,22.1409034,131.94,lamost_low,train
spec-57304-KP194918N413456V06_sp04-227,A,297.96741,41.506008,258.29,lamost_low,train
spec-55960-GAC_101N09_V1_sp05-111,A,101.37933,8.8014319,55.38,lamost_low,train
spec-58549-KII062756N202946B01_sp14-045,A,94.6889486,20.7984139,136.19,lamost_low,train
spec-59228-KII041251N222448B02_sp11-167,A,62.8059034,24.7880448,6.17,lamost_low,train
spec-56723-GAC102N27V2_sp01-073,A,101.94714,25.674223,102.13,lamost_low,train
spec-55940-GAC_103N06_V3_sp02-249,A,102.61037,5.080611,150.15,lamost_low,train
spec-57830-HD120440N353402B02_sp06-181,A,183.314052,34.741808,37.21,lamost_low,train
spec-58047-GACII320N38M1_sp08-119,A,321.70601,37.54029,42.7,lamost_low,train
spec-58931-HD104509N022916M02_sp04-183,A,161.04741,2.2435371,17.61,lamost_low,train
spec-57466-HD174011S020908V01_sp01-010,A,265.2485094,-4.4133789,127.59,lamost_low,train
spec-57474-GAC111N10B1_sp02-013,A,110.67785,8.6395484,17.63,lamost_low,train
spec-55940-GAC_103N06_V3_sp06-071,A,106.03515,6.5059466,29.84,lamost_low,train
spec-58047-GACII320N38M1_sp10-211,A,318.84418,38.105541,27.86,lamost_low,train
spec-56204-GAC080N33B101_sp15-136,A,80.166135,35.061587,14.33,lamost_low,train
spec-56316-VB046N36V1_sp07-246,A,47.706298,34.862774,230.95,lamost_low,train
spec-59193-HD075207N031638V02_sp12-166,A,119.5279028,4.6511308,195.48,lamost_low,train
spec-57457-HD155907N503821B02_sp04-187,A,238.892609,50.429955,11.68,lamost_low,train
spec-57749-HIP29425K201_sp02-038,A,91.5182082,21.7580085,337.44,lamost_low,train
spec-56918-HD011253N513608V_sp16-059,A,16.438598,53.2810218,120.93,lamost_low,train
spec-56630-GAC091N33B1_sp11-239,A,91.321906,35.054367,103.17,lamost_low,train
spec-56966-HD224100N251236V01_sp15-070,A,339.303233,25.877008,94.31,lamost_low,train
spec-57040-EG022533N115816B01_sp02-046,A,34.8998219,10.5756046,46.2,lamost_low,train
spec-57785-GAC098N14B2_sp01-239,A,97.716902,11.980386,68.4,lamost_low,train
spec-56576-GAC046N36B2_sp04-138,A,46.08623,36.406042,117.36,lamost_low,train
spec-56752-HD150254N020528B01_sp14-019,A,223.774259,3.151998,38.07,lamost_low,train
spec-56687-GAC080N37B2_sp11-118,A,80.604269,39.48713,5.63,lamost_low,train
spec-57822-HD105614N420029V02_sp13-015,A,167.2332417,42.6448111,141.92,lamost_low,train
spec-56945-EG233528N011847B01_sp04-085,A,354.2602091,0.7965258,104.55,lamost_low,train
spec-57477-HD122233N482110B02_sp05-015,A,185.968998,47.0629,59.46,lamost_low,train
spec-56265-GAC111S00V2_sp01-174,A,111.48628,-2.394398,114.4,lamost_low,train
spec-56580-VB011N44V1_sp16-236,A,10.186242,47.106064,102.06,lamost_low,train
spec-57651-HD200356N310725B01_sp14-073,A,298.9006636,31.4612656,9.27,lamost_low,train
spec-58423-TD030224N542147B01_sp03-090,A,43.7271458,54.1770867,74.86,lamost_low,train
spec-57326-HD042432N505042V01_sp14-035,A,62.2300961,50.8536372,54.28,lamost_low,train
spec-56228-GAC090N26B1_sp13-225,A,92.666998,26.801563,12.67,lamost_low,train
spec-56647-GAC085N22V3_sp01-186,A,85.987037,20.287907,144.54,lamost_low,train
spec-58787-TD064253N231249K01_sp11-044,A,101.4903288,25.2783416,220.86,lamost_low,train
spec-59613-GAC067N44M2_sp06-248,A,69.525804,43.911918,51.53,lamost_low,train
spec-59706-HD144325N263140B02_sp16-025,A,218.578347,27.990375,17.42,lamost_low,train
spec-58429-GACII056N51B2_sp03-135,A,55.718195,52.124695,155.42,lamost_low,train
spec-57757-HD121027N290405M02_sp15-206,A,182.41494,30.480176,6.84,lamost_low,train
spec-56668-GAC089N24B1_sp14-248,A,86.585757,24.786973,77.24,lamost_low,train
spec-56669-HD024803N513305V01_sp03-247,A,40.236728,51.082476,67.59,lamost_low,train
spec-59230-TD061156N231225K01_sp14-218,A,90.9189406,23.9681368,44.86,lamost_low,train
spec-57473-KP064707N170711V01_sp11-145,A,101.6424797,19.5861578,150.26,lamost_low,train
spec-57032-GAC125N19B2_sp08-074,A,127.00238,19.551726,6.09,lamost_low,train
spec-56687-GAC080N37V1_sp09-020,A,81.239637,37.521206,186.61,lamost_low,train
spec-57300-GAC073N44B1_sp04-223,A,74.312058,44.461103,46.37,lamost_low,train
spec-57025-HD064528N441400V01_sp07-122,A,102.8140342,42.7274042,81.89,lamost_low,train
spec-57119-HD164142N011052V01_sp08-210,A,251.0837736,-0.3191528,8.05,lamost_low,train
spec-57787-GAC103N06B2_sp08-204,A,104.13407,5.405621,112.62,lamost_low,train
spec-55879-B7905_1_sp10-091,A,29.137928,57.688236,21.16,lamost_low,train
spec-57377-GAC104N11B1_sp05-089,A,103.99578,10.638056,63.9,lamost_low,train
spec-57015-GAC082N38B1_sp14-134,A,80.504137,39.224076,123.94,lamost_low,train
spec-56447-HD152148N325601F01_sp07-156,A,231.450882,30.756871,18.35,lamost_low,train
spec-58094-HD072253N552027V02_sp07-165,A,111.8939961,53.4392814,312.5,lamost_low,train
spec-58164-HD084033N331638B02_sp02-246,A,128.694344,31.870378,30.25,lamost_low,train
spec-58845-TD035052N235741K01_sp05-114,A,57.7054003,23.4228583,35.08,lamost_low,train
spec-56296-GAC096N02V4_sp10-230,A,95.100925,2.8312243,31.27,lamost_low,train
spec-56302-GAC085N31B1_sp14-062,A,83.216759,31.399088,59.8,lamost_low,train
spec-58428-GAC088N03B2_sp11-139,A,88.447876,5.5643437,34.92,lamost_low,train
spec-55878-B87806_1_sp15-229,A,46.928854,52.780821,7.76,lamost_low,train
spec-59636-TD062610N184524H01_sp12-129,A,97.4065852,20.2765327,119.81,lamost_low,train
spec-56994-GAC097N20B2_sp08-241,A,97.888638,19.805674,112.82,lamost_low,train
spec-58105-GACII018N60B1_sp01-113,A,19.033616,58.926638,100.32,lamost_low,train
spec-57749-HIP29425K201_sp06-172,A,95.2936357,22.5605827,761.04,lamost_low,train
spec-58462-GAC096N07B2_sp11-167,A,95.795434,9.4197836,48.61,lamost_low,train
spec-57035-HD054156N353752V01_sp13-194,A,88.0539914,36.7256442,64.79,lamost_low,train
spec-57401-GAC098N14M2_sp02-193,A,96.82565,12.993461,32.58,lamost_low,train
spec-57004-GAC081N20B2_sp05-118,A,81.529665,19.736222,71.82,lamost_low,train
spec-59615-HD120534N515552B03_sp03-103,A,179.271072,52.529592,23.6,lamost_low,train
spec-57378-HD053703N170225V01_sp05-041,A,83.9010158,16.1055844,338.07,lamost_low,train
spec-56642-GAC094N47V1_sp09-115,A,95.762992,48.276347,44.95,lamost_low,train
spec-55940-GAC_103N06_V2_sp11-090,A,103.38402,8.4590719,41.06,lamost_low,train
spec-57309-GAC063N29B1_sp08-126,A,64.949898,29.050253,112.59,lamost_low,train
spec-56582-GAC094N35V1_sp09-202,A,95.028224,35.509312,338.97,lamost_low,train
spec-55930-B5593003_sp15-059,A,61.082821,46.039658,101.01,lamost_low,train
spec-58398-GACII038N55M1_sp11-035,A,39.382078,57.600621,39.06,lamost_low,train
spec-56688-HD131318N132328B_sp06-143,A,200.703233,13.006636,24.62,lamost_low,train
spec-57299-GAC067N44B1_sp01-183,A,68.297524,42.432825,45.19,lamost_low,train
spec-56948-EG212551N003203M01_sp11-205,A,321.4470152,2.7143453,10.68,lamost_low,train
spec-56333-GAC094N27V4_sp05-038,A,94.128015,26.172684,126.85,lamost_low,train
spec-56589-GAC078N51V1_sp10-027,A,75.680664,50.554433,15.55,lamost_low,train
spec-56994-HD230130N570619V01_sp07-175,A,346.64419,55.039133,23.28,lamost_low,train
spec-55940-GAC_103N06_V2_sp04-021,A,103.31391,6.8678622,68.31,lamost_low,train
spec-58456-HD064759S041506V01_sp10-085,A,99.932919,-4.998367,110.79,lamost_low,train
spec-56343-GAC075N39V1_sp09-059,A,76.266654,40.936204,46.84,lamost_low,train
spec-57018-GAC100N17B1_sp09-036,A,101.56768,18.407871,27.62,lamost_low,train
spec-56602-GAC085N33M2_sp10-211,A,83.973098,32.778646,9.77,lamost_low,train
spec-58848-HD070013N000500B01_sp04-020,A,104.720716,0.266307,24.02,lamost_low,train
spec-57133-HD174044N040903V01_sp09-162,A,265.841855,4.893255,43.46,lamost_low,train
spec-56286-GAC118S05V3_sp03-237,A,116.92367,-6.037718,23.92,lamost_low,train
spec-57291-HD043958N532822V01_sp01-024,A,70.0490225,51.2160239,252.62,lamost_low,train
spec-55959-F5595902_sp13-096,A,201.142558,5.505363,8.42,lamost_low,train
spec-59576-TD062610N184524H01_sp06-221,A,98.5514723,17.5449849,331.39,lamost_low,train
spec-56964-GAC085N17B1_sp14-068,A,83.607049,17.866275,39.68,lamost_low,train
spec-59608-TD062610N184524H01_sp11-160,A,95.986713,21.169887,201.91,lamost_low,train
spec-56350-GAC089N28V2_sp14-233,A,86.375516,29.287492,36.51,lamost_low,train
spec-58068-HD073149N010954V01_sp12-046,A,114.1161599,3.0178684,239.11,lamost_low,train
spec-56627-GAC101N22B1_sp09-045,A,102.71378,22.934675,12.52,lamost_low,train
spec-57012-GAC100N17M1_sp07-013,A,101.45069,15.819583,12.27,lamost_low,train
spec-56661-GAC092N13V1_sp04-215,A,93.21099,14.082804,117.21,lamost_low,train
spec-56589-GAC078N51V1_sp10-181,A,75.383251,50.502342,42.47,lamost_low,train
spec-58109-GACII064N62B2_sp01-248,A,63.130384,60.095253,56.58,lamost_low,train
spec-55984-GAC_099N04_V4_sp06-242,A,101.23831,4.102414,17.87,lamost_low,train
spec-57380-HD044940N493517V01_sp14-146,A,69.8374025,50.6453731,5.22,lamost_low,train
spec-56573-HD220057N215153V_sp04-058,A,330.4076333,22.0398972,125.0,lamost_low,train
spec-59671-HD155427N020832M01_sp15-143,A,238.8462882,3.2117098,38.75,lamost_low,train
spec-56266-GAC080N32V2_sp08-177,A,80.510107,31.576188,173.09,lamost_low,train
spec-57299-GAC067N44B2_sp08-134,A,69.032004,43.820482,50.51,lamost_low,train
spec-56617-GAC122S02V3_sp02-223,A,120.92561,-4.9277781,106.0,lamost_low,train
spec-57453-GAC100N44B1_sp05-090,A,100.55635,43.138745,95.28,lamost_low,train
spec-55977-GAC_080N37_V1_sp01-110,A,80.702816,35.527289,43.5,lamost_low,train
spec-57328-GAC084N35B1_sp09-157,A,84.938449,36.460101,57.0,lamost_low,train
spec-55940-GAC_103N06_V1_sp02-183,A,102.23724,5.605149,73.07,lamost_low,train
spec-57439-HD054351N112420V01_sp07-078,A,87.7935356,9.7292619,103.41,lamost_low,train
spec-55951-GAC_080N28_M1_sp09-049,A,81.906324,29.613731,8.12,lamost_low,train
spec-57874-HD172143N395828B02_sp12-198,A,262.362579,41.61113,28.85,lamost_low,train
spec-57651-HD005305N571308V01_sp14-083,A,10.555669,58.135066,151.63,lamost_low,train
spec-56287-GAC101N22V5_sp05-110,A,102.01269,21.264408,45.75,lamost_low,train
spec-56646-VB061N34V1_sp11-033,A,61.898456,36.685589,305.62,lamost_low,train
spec-58908-HD094225N484633B02_sp10-159,A,143.3552274,47.9008947,31.65,lamost_low,train
spec-55981-GAC_100N17_V4_sp13-157,A,102.28788,18.368611,7.71,lamost_low,train
spec-59732-KP190339N395439V06_sp09-154,A,286.7337847,40.5406699,34.6,lamost_low,train
spec-59617-TD042836N191049H01_sp06-117,A,69.3512739,17.9691832,299.4,lamost_low,train
spec-59670-HD160623N052445B03_sp05-077,A,241.1320416,4.3193917,310.33,lamost_low,train
spec-56344-GAC088N41V1_sp16-192,A,87.134862,42.64796,32.27,lamost_low,train
spec-59231-HD074853N181124V02_sp06-004,A,118.7942431,17.1004683,93.6,lamost_low,train
spec-56208-M31016N38B1_sp08-201,A,16.843377,37.222515,9.22,lamost_low,train
spec-57435-GAC084N44B1_sp12-064,A,85.63479,45.841823,34.26,lamost_low,train
spec-57778-HD023050N553254B02_sp15-116,A,38.256351,56.301946,115.1,lamost_low,train
spec-58457-KII062257N223048B01_sp16-163,A,94.5666944,23.9683639,125.44,lamost_low,train
spec-57742-KP012739N052110V01_sp15-117,A,22.0250549,6.0197968,157.36,lamost_low,train
spec-56232-GAC097N26B1_sp13-196,A,99.671764,27.87427,11.92,lamost_low,train
spec-58456-HD064759S041506B01_sp09-037,A,102.9028781,-3.3933881,39.37,lamost_low,train
spec-55910-B91003_sp07-239,A,35.467224,56.493218,22.75,lamost_low,train
spec-57821-HD153447N440403B01_sp05-250,A,232.49428,43.131444,32.22,lamost_low,train
spec-57816-HD054539N204142V01_sp15-061,A,85.2531761,21.4655942,129.73,lamost_low,train
spec-56365-GAC106N28V3_sp03-175,A,105.87526,28.370325,38.58,lamost_low,train
spec-56228-GAC102N27B1_sp07-184,A,103.97554,25.92503,30.25,lamost_low,train
spec-58493-KII062035N253629B02_sp08-160,A,95.7071436,25.0847769,90.52,lamost_low,train
spec-56592-HD214423N291556V01_sp10-185,A,323.531249,28.240227,132.63,lamost_low,train
spec-57377-GAC104N11B1_sp14-074,A,102.64027,12.00062,47.74,lamost_low,train
spec-57077-GAC094N39B1_sp08-124,A,95.698692,38.523041,76.58,lamost_low,train
spec-56971-HD031226N474333V01_sp04-210,A,48.4709703,48.3282878,7.7,lamost_low,train
spec-59311-HD142816N361149M02_sp13-223,A,219.487034,36.630658,48.78,lamost_low,train
spec-57398-HD110236S033045M01_sp02-144,A,164.3962482,-5.2720615,5.68,lamost_low,train
spec-56670-GAC084N44V1_sp07-094,A,86.861836,42.448234,14.6,lamost_low,train
spec-55976-GAC_084N40_V4_sp11-137,A,83.985199,42.612751,108.63,lamost_low,train
spec-56971-HD031226N474333V01_sp13-069,A,51.65898,47.867141,429.99,lamost_low,train
spec-56358-GAC089N28B2_sp06-028,A,91.089957,28.771539,47.21,lamost_low,train
spec-55915-GAC_079N29_M1_sp03-004,A,81.855611,28.961677,7.5,lamost_low,train
spec-56936-HD022751N503411V01_sp15-030,A,37.146315,51.902845,267.07,lamost_low,train
spec-56559-HD035343N575830V01_sp05-104,A,58.652966,57.110439,59.71,lamost_low,train
spec-57358-HD063739N014841V01_sp09-088,A,99.8464236,3.1424292,75.8,lamost_low,train
spec-56293-GAC118N28V2_sp15-189,A,117.94727,28.925906,5.26,lamost_low,train
spec-57751-GAC062N50B2_sp04-197,A,62.058812,49.992756,29.78,lamost_low,train
